OBJECTID,GlobalID,Uniq_Id,State_Code,District_C,Tehsil_Cod,Block_Code,Village_Co,LGD_Code,Built_Up_A,Village_Na,Area_Desc,Name,Owner_Name,Property_I,Property_C,Area_Sqm,Roof_type,No_Floors,Remarks,Adl_Info,SHAPE_Leng,SHAPE_Area,GP_Code,GP_Name
"57526",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,67.19406748810,"1","1",,,37.84888135440,87.39542902770,"63317",KALONDA
"57527",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,13.38309272960,"1","2",,,16.80318093410,17.40693474600,"63317",KALONDA
"57528",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,23.10781090440,"4","1",,,22.08421862300,30.05552733080,"63317",KALONDA
"57529",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,28.40854615630,"1","2",,,26.41193308670,36.94995300830,"63317",KALONDA
"57530",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,25.97948113360,"1","1",,,26.28986842280,33.79056563550,"63317",KALONDA
"57531",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,38.73880595130,"1","2",,,32.80934659040,50.38621505550,"63317",KALONDA
"57532",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,57.77052435420,"1","1",,,37.41140729150,75.13976013070,"63317",KALONDA
"57533",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,151.08453951800,"1","1",,,58.66124809570,196.50906295000,"63317",KALONDA
"57534",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,32.39278200530,"1","2",,,30.27805962960,42.13199081560,"63317",KALONDA
"57535",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,22.27997335570,"1","2",,,23.03146716800,28.97864682570,"63317",KALONDA
"57536",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,134.70260085300,"1","1",,,78.59729767350,175.20201693600,"63317",KALONDA
"57537",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,117.55768858300,"1","1",,,51.59662932480,152.90446031000,"63317",KALONDA
"57538",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,24.49219774860,"1","1",,,26.70141138750,31.85674825360,"63317",KALONDA
"57539",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,7.23923240200,"1","1",,,12.35389862310,9.41598789897,"63317",KALONDA
"57540",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,44.81336272480,"1","2",,,31.49744009490,58.28829564090,"63317",KALONDA
"57541",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,23.51698120210,"4","1",,,22.25567006050,30.59012896350,"63317",KALONDA
"57542",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.38221756610,"1","2",,,17.70121706140,18.70787276120,"63317",KALONDA
"57543",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,16.37497575970,"4","1",,,18.99465216260,21.30002332040,"63317",KALONDA
"57544",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","8",Kalonda,,,,,,9.97324843321,"1","1",,,14.71304971710,12.97264074680,"63317",KALONDA
"57545",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,61.84966873000,"1","2",,,36.44530235220,80.44813999200,"63317",KALONDA
"57546",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,15.58066619350,"1","1",,,18.04058694640,20.26648220910,"63317",KALONDA
"57547",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,4.63268779262,"4","1",,,9.90871792008,6.02583959311,"63317",KALONDA
"57548",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,13.41502095420,"1","1",,,16.98373756740,17.44957211860,"63317",KALONDA
